support:
2058,2186,2189,2190,2319,2192,2323,2195,2330,2331,2203,2333,2206,2205,2207,2338,2090,2354,2098,2100,2356,2357,2359,2360,2361,2112,2371,2372,2373,2374,2377,2122,2379,2380,2392,2266,2138,2146,2403,2147,2151,2410,2411,2412,2156,2155,2289,2290,2163,2420,2167,2169,2173,2303
resistance:
2311,2183,2188,2320,2196,2211,2215,2216,2219,2099,2228,2233,2235,2371,2244,2374,2246,2252,2259,2260,2389,2261,2265,2396,2141,2397,2269,2401,2402,2403,2404,2145,2147,2407,2282,2287,2159,2417,2422,2169,2172
