support:
1793,1795,1540,1670,1798,1800,1807,1679,1553,1682,1815,1687,1830,1705,1707,1591,1595,1735,1737,1620,1753,1758,1502,1767,1645,1775,1777,1650,1782
resistance:
1671,1548,1805,1812,1813,1822,1695,1826,1829,1574,1710,1714,1592,1599,1607,1618,1622,1753,1760,1762,1638,1774,1782,1784
